codigo,nombre_validaciones,nombre_matriz
02000,Cabecera Autopista Norte,Terminal
02001,Centro Comercial Santa Fe,Calle 106
02101,Toberin - Foundever,Toberín - Foundever
02102,Calle 161,Calle 161
02103,Mazurén,Mazurén
02104,Calle 146,Calle 146
02105,Calle 142,Calle 142
02200,Alcalá – Colegio S. Tomás Dominicos,Alcalá - Col. S. Tomás Dominicos
02201,Prado,Prado
02202,Calle 127,Calle 127
02204,Pepe Sierra,Pepe Sierra
02205,Calle 106,Calle 161
02300,Calle 100 - Marketmedios,Calle 100 - Marketmedios
02302,Virrey,Virrey
02303,Calle 85,Calle 187
02304,Heroes - Gel hada,Héroes
02502,Terminal,Terminal
03000,Portal Suba,Portal Suba
03001,LA CAMPIÑA,La Campiña
03002,SUBA - TV- 91,Suba - TV 91
03003,21 ANGELES,21 Ángeles
03004,GRATAMIRA,Gratamira
03005,SUBA - AV. BOYACA,Suba - AV. Boyacá
03006,NIZA - CALLE 127,Niza - Calle 127
03007,HUMEDAL CORDOBA,Humedal Córdoba
03009,Av. Suba- Calle 116,AV. Suba - Calle 116
03010,PUENTE LARGO,Puentelargo
03011,SUBA - CALLE 100,Suba - Calle 100
03012,SUBA - CALLE 95,Suba - Calle 95
03013,RIO NEGRO,Rionegro
03014,SAN MARTIN,Héroes
04000,Cabecera Calle 80,Portal 80
04001,Quirigua,Quirigua
04002,Carrera 90,KR 90
04003,Avenida Ciudad de Cali,AV. Ciudad de Cali
04004,La Granja,La Granja
04100,Carrera 77,Granja - KR 77
04101,Minuto de Dios,Minuto de Dios
04102,Avenida Boyaca,Boyacá
04103,Las Ferias,Las Ferias
04104,Avenida 68,AV. 68
04105,Carrera 53,KR 53
04106,Carrera 47,KR 47
04107,Escuela Militar,Escuela Militar
04108,Polo –  FINCOMERCIO,Polo - FINCOMERCIO
05000,Portal Américas,Portal Américas
05001,Patio Bonito,Patio Bonito
05002,Tintal,Biblioteca Tintal
05005,Transversal 86,TV 86
05100,Banderas P. Central,Banderas
05101,Mandalay - Cr.73,Mandalay
05102,Av. Américas - Av. Boyacá,Av. Américas - Av. Boyacá
05103,Marsella,Marsella
05105,Pradera – Plaza Central,Pradera - Plaza Central
05107,Américas - Cr.53,Banderas
06000,Portal Eldorado,Portal Eldorado - C.C. NUESTRO BOGOTÁ
06001,Modelia,Modelia
06002,Normandía,Normandía
06100,Av. Rojas – UNISALESIANA,AV. Rojas - UNISALESIANA
06101,El Tiempo - Camara de Comercio de Bogota,El Tiempo - CCB
06102,Salitre El Greco,Salitre - El Greco
06103,CAN,CAN - British Council
06104,Gobernación,Gobernación
06105,Quinta Paredes,Quinta Paredes
06106,Recinto Ferial,Corferias
06107,Ciudad Universitaria - Loteria de Bogota,C. Universitaria - Lotería de Btá.
06108,Concejo de Bogotá,Concejo de Bogotá
06109,Centro Memoria,Centro Memoria
06111,Universidades – CityU,Universidades - CityU
07000,Portal Sur JFK Coop. Financiera,Portal Sur - JFK Coop. financ.
07001,PERDOMO,Perdomo
07002,MADELENA,Paseo Villa del Río - Madelena
07003,SEVILLANA,Sevillana
07004,VENECIA,Venecia
07005,ALQUERIA,Alquería
07006,General Santander,Gral. Santander
07007,NQS - Calle 38A Sur,NQS - Calle 38A S.
07008,NQS - Calle 30 Sur,NQS - Calle 30 S.
07010,Bosa,Bosa
07101,CASTELLANA,La Castellana
07102,Calle 75 - Zona M,Calle 75
07103,AV. CHILE,AV. Chile
07104,7 de Agosto,7 de agosto
07105,MOVISTAR ARENA,Movistar Arena
07106,EL CAMPIN,Campín - UAN
07107,U. NACIONAL,Universidades - CityU
07108,Av. El Dorado,Av. El Dorado
07109,CAD,CAD
07110,PALOQUEMAO,Paloquemao
07111,NQS - RICAURTE,Ricaurte
07112,COMUNEROS,Comuneros
07113,SANTA ISABEL,Santa Isabel
07200,Tygua-San José,Tygua-San José
07201,Guatoque -Veraguas,Guatoque-Veraguas
07503,SAN MATEO - C.C. UNISUR,San Mateo
07504,TERREROS,Terreros - Hospital C.V.
07505,LEON XIII,Santa Lucía
07506,DESPENSA,La Despensa
08000,Portal Tunal,Portal Tunal
08001,Parque el Tunal,Portal Tunal
08002,Biblioteca,Biblioteca
08100,Portal Tunal Cable,Portal Tunal
09000,Cabecera Usme,Portal Usme
09001,Molinos,Molinos
09002,Consuelo,Consuelo
09003,Socorro,Socorro
09004,Santa Lucía,Santa Lucía
09005,Danubio,Danubio
09100,Calle 40 Sur,Calle 40 Sur
09101,Quiroga,Quiroga
09103,Olaya,Olaya
09104,Restrepo,Restrepo
09105,Río Fucha,Fucha
09106,Nariño,Nariño
09107,Hortúa,Hortúa
09108,Hospital,Hospital
09109,Tercer Milenio,Tercer Milenio
09110,Avenida Jimenez,AV. Jiménez
09111,Calle 19,Calle 19
09113,Calle 22,Temporal - Marly
09114,Calle 26,Calle 26
09115,Calle 34 - Fondo Nacional de Garantias,Temporal - Calle 34
09116,Avenida 39,Av. 39
09117,Calle 45,Calle 45
09118,Marly,Temporal - Marly
09119,Calle 57,Temporal - Calle 57
09120,Calle 63,Calle 63
09121,Flores – Areandina,Temporal - Flores
09122,Calle 72,Calle 72
09123,Calle 76 - San Felipe,Calle 76
10000,Portal 20 de Julio,Portal 20 de Julio
10001,Country Sur,Country Sur
10002,Av. Primero de Mayo,AV. 1° Mayo
