nombre_validaciones,nombre_ibod,tipo
21 ANGELES,(EXCLUIDA),excluida
7 de Agosto,7 de agosto,mapeada
ALQUERIA,(EXCLUIDA),excluida
AV. CHILE,AV. Chile,mapeada
Alcalá – Colegio S. Tomás Dominicos,Alcalá - Col. S. Tomás Dominicos,mapeada
Ampliacion San Mateo,San Mateo,mapeada
Américas - Cr.53,Banderas,mapeada
Av. Américas - Av. Boyacá,Banderas,mapeada
Av. El Dorado,AV. El Dorado,mapeada
Av. Primero de Mayo,Bosa,mapeada
Av. Rojas – UNISALESIANA,AV. Rojas - UNISALESIANA,mapeada
Av. Suba- Calle 116,AV. Suba - Calle 116,mapeada
Avenida 68,AV. 68,mapeada
Avenida Boyaca,Boyacá,mapeada
Avenida Ciudad de Cali,AV. Cali,mapeada
Avenida Jimenez,AV. Jiménez,mapeada
Banderas P. Central,Banderas,mapeada
Bicentenario,(EXCLUIDA),excluida
CASTELLANA,La Castellana,mapeada
CDS - Carrera 32,(EXCLUIDA),excluida
COMUNEROS,Comuneros,mapeada
Cabecera Calle 80,Portal 80,mapeada
Cabecera Usme,Portal Usme,mapeada
Cable Portal Tunal,Portal Tunal,mapeada
Calle 106 - Explora Maletas,Calle 106,mapeada
Calle 127 - L Oreal Paris,Calle 127,mapeada
Calle 40 Sur,Calle 40 S.,mapeada
Calle 45,(EXCLUIDA),excluida
Carrera 22,(EXCLUIDA),excluida
Carrera 43 - COMAPAN,NQS - Calle 75,mapeada
Carrera 47,(EXCLUIDA),excluida
Carrera 53,(EXCLUIDA),excluida
Carrera 77,(EXCLUIDA),excluida
Carrera 90,(EXCLUIDA),excluida
Centro Comercial Santa Fe,Calle 106,mapeada
Ciudad Jardín,(EXCLUIDA),excluida
Ciudad Universitaria - Loteria de Bogota,C. Universitaria - Lotería de Btá.,mapeada
Corferias,(EXCLUIDA),excluida
Corral Molinos,Molinos,mapeada
Corral Portal Dorado,Portal Eldorado - C.C. NUESTRO BOGOTÁ,mapeada
Country Sur,(EXCLUIDA),excluida
DESPENSA,La Despensa,mapeada
EL CAMPIN,Campín - UAN,mapeada
El Tiempo - Camara de Comercio de Bogota,El Tiempo - CCB,mapeada
Flores,Temporal - Flores,mapeada
GRATAMIRA,Gratamira,mapeada
General Santander,Gral. Santander,mapeada
Guatoque -Veraguas,Guatoque - Veraguas,mapeada
HUMEDAL CORDOBA,Humedal Córdoba,mapeada
Heroes - Gel hada,Héroes,mapeada
Juan Pablo II,(EXCLUIDA),excluida
LA CAMPIÑA,La Campiña,mapeada
LEON XIII,Santa Lucía,mapeada
La Granja,(EXCLUIDA),excluida
La Sabana,(EXCLUIDA),excluida
Las Aguas - Centro Colombo Americano,AV. Jiménez,mapeada
Las Ferias,(EXCLUIDA),excluida
Las Nieves,(EXCLUIDA),excluida
MADELENA,Paseo Villa del Río - Madelena,mapeada
MOVISTAR ARENA,Movistar Arena,mapeada
Mandalay - Cr.73,Mandalay,mapeada
Manitas,(EXCLUIDA),excluida
Mirador del Paraiso,(EXCLUIDA),excluida
Museo Nacional - FNG,(EXCLUIDA),excluida
Museo del Oro,(EXCLUIDA),excluida
NIZA - CALLE 127,Calle 127,mapeada
NQS - Calle 30 Sur,NQS - Calle 30 S.,mapeada
NQS - Calle 38A Sur,NQS - Calle 38A S.,mapeada
NQS - RICAURTE,Ricaurte,mapeada
NQS Calle 75,NQS - Calle 75,mapeada
PALOQUEMAO,Paloquemao,mapeada
PERDOMO,Perdomo,mapeada
PUENTE LARGO,Puentelargo,mapeada
Parque el Tunal,Portal Tunal,mapeada
Policarpa,(EXCLUIDA),excluida
Polo –  FINCOMERCIO,Polo - FINCOMERCIO,mapeada
Portal 20 de Julio,Portal Tunal,mapeada
Portal El Dorado - C.C. NUESTRO BOGOTA,Portal Eldorado - C.C. NUESTRO BOGOTÁ,mapeada
Portal Norte - Unicervantes,Portal Norte,mapeada
Portal Sur JFK Coop. Financiera,Portal Sur - JFK Coop. financ.,mapeada
Portal Tunal Cable,Portal Tunal,mapeada
Pradera – Plaza Central,Pradera - Plaza Central,mapeada
Puente Aranda,(EXCLUIDA),excluida
RIO NEGRO,Rionegro,mapeada
Río Fucha,Fucha,mapeada
SAN MARTIN,Héroes,mapeada
SAN MATEO - C.C. UNISUR,San Mateo,mapeada
SAN VICTORINO - NEOS CENTRO,AV. Jiménez,mapeada
SANTA ISABEL,Santa Isabel,mapeada
SEVILLANA,Sevillana,mapeada
SUBA - AV. BOYACA,AV. Suba - Calle 116,mapeada
SUBA - CALLE 100,Suba - Calle 95,mapeada
SUBA - CALLE 95,Suba - Calle 95,mapeada
SUBA - TV- 91,Suba - TV 91,mapeada
Salitre El Greco - Vive Claro,Salitre - El Greco,mapeada
San Bernardo,(EXCLUIDA),excluida
San Diego,(EXCLUIDA),excluida
TERREROS,Terreros - Hospital C.V.,mapeada
Temporal Calle 22,Temporal - Calle 22,mapeada
Temporal Calle 34,Temporal - Calle 34,mapeada
Temporal Calle 57,Temporal - Calle 57,mapeada
Temporal Marly,Temporal - Marly,mapeada
Tintal,(EXCLUIDA),excluida
Toberin - Foundever,Toberín - Foundever,mapeada
Transversal 86,TV 86,mapeada
Tygua-San José,Tygua - San José,mapeada
U. NACIONAL,Universidades - CityU,mapeada
Universidades – CityU,Universidades - CityU,mapeada
VENECIA,Venecia,mapeada
Zona Industrial,(EXCLUIDA),excluida
