ruta,tipo,corredor,orden,estacion,capacidad
1,RF,K,1,Universidades - CityU,160
1,RF,K,2,Centro Memoria,160
1,RF,K,3,Concejo de Bogotá,160
1,RF,K,4,C. Universitaria - Lotería de Btá.,160
1,RF,K,5,Corferias,160
1,RF,K,6,Quinta Paredes,160
1,RF,K,7,Gobernación,160
1,RF,K,8,CAN - British Council,160
1,RF,K,9,Salitre - El Greco,160
1,RF,K,10,El Tiempo - CCB,160
1,RF,K,11,AV. Rojas - UNISALESIANA,160
1,RF,K,12,Normandía,160
1,RF,K,13,Modelia,160
1,RF,K,14,Portal Eldorado - C.C. NUESTRO BOGOTÁ,160
2,RF,L,1,Museo Nacional - FNG,160
2,RF,L,2,San Diego,160
2,RF,L,3,Las Nieves,160
2,RF,L,4,San Victorino,160
2,RF,L,5,Bicentenario,160
2,RF,L,6,San Bernardo,160
2,RF,L,7,Policarpa,160
2,RF,L,8,Ciudad Jardín - UAN,160
2,RF,L,9,AV. 1° Mayo,160
2,RF,L,10,Country Sur,160
2,RF,L,11,Portal 20 de Julio,160
3,RF,H,1,Portal Tunal,160
3,RF,H,2,Parque,160
3,RF,H,3,Biblioteca,160
3,RF,H,4,Santa Lucía,160
3,RF,H,5,Calle 40 S.,160
3,RF,H,6,Quiroga,160
3,RF,H,7,Olaya,160
3,RF,H,8,Restrepo,160
3,RF,H,9,Fucha,160
3,RF,H,10,Nariño,160
3,RF,H,11,Hortúa,160
3,RF,H,12,Hospital,160
3,RF,H,13,Tercer Milenio,160
3,RF,H,14,AV. Jiménez,160
3,RF,H,15,Calle 19,160
3,RF,H,16,Temporal - Calle 22,160
3,RF,H,17,Centro Memoria,160
3,RF,H,18,Concejo de Bogotá,160
3,RF,H,19,C. Universitaria - Lotería de Btá.,160
3,RF,H,20,Corferias,160
4,RF,G,1,Portal Sur - JFK Coop. financ.,160
4,RF,G,2,Perdomo,160
4,RF,G,3,Paseo Villa del Río - Madelena,160
4,RF,G,4,Sevillana,160
4,RF,G,5,Venecia,160
4,RF,G,6,Alquería,160
4,RF,G,7,Gral. Santander,160
4,RF,G,8,NQS - Calle 38A S.,160
4,RF,G,9,NQS - Calle 30 S.,160
4,RF,G,10,SENA,160
4,RF,G,11,Santa Isabel,160
4,RF,G,12,Comuneros,160
4,RF,G,13,Ricaurte,160
4,RF,G,14,Paloquemao,160
4,RF,G,15,CAD,160
4,RF,G,16,AV. El Dorado,160
4,RF,G,17,U. Nacional,160
4,RF,G,18,Campín - UAN,160
4,RF,G,19,Movistar Arena,160
4,RF,G,20,7 de agosto,160
4,RF,G,21,AV. Chile,160
4,RF,G,22,NQS - Calle 75,160
4,RF,G,23,Escuela Militar,160
4,RF,G,24,Polo - FINCOMERCIO,160
4,RF,G,25,Héroes,160
5,RF,F,1,Portal Américas,160
5,RF,F,2,Patio Bonito,160
5,RF,F,3,Biblioteca Tintal,160
5,RF,F,4,TV 86,160
5,RF,F,5,Banderas,160
5,RF,F,6,Mandalay,160
5,RF,F,7,AV. Américas - AV. Boyacá,160
5,RF,F,8,Marsella,160
5,RF,F,9,Pradera - Plaza Central,160
5,RF,F,10,Distrito Grafiti,160
5,RF,F,11,Puente Aranda,160
5,RF,F,12,KR 43 - COMAPAN,160
5,RF,F,13,Zona Industrial,160
5,RF,F,14,CDS - Cra. 32,160
5,RF,F,15,Ricaurte,160
5,RF,F,16,San Façon - KR 22,160
5,RF,F,17,De la Sabana,160
5,RF,F,18,AV. Jiménez,160
5,RF,F,19,Calle 19,160
5,RF,F,20,Temporal - Calle 22,160
6,RF,D,1,Universidades - CityU,160
6,RF,D,2,Calle 26,160
6,RF,D,3,Temporal - Calle 34,160
6,RF,D,4,AV. 39,160
6,RF,D,5,Calle 45 - American School Way,160
6,RF,D,6,Temporal - Marly,160
6,RF,D,7,Temporal - Calle 57,160
6,RF,D,8,Calle 63,160
6,RF,D,9,Temporal - Flores,160
6,RF,D,10,Calle 72,160
6,RF,D,11,Calle 76,160
6,RF,D,12,Polo - FINCOMERCIO,160
6,RF,D,13,Escuela Militar,160
6,RF,D,14,KR 47,160
6,RF,D,15,KR 53,160
6,RF,D,16,AV. 68,160
6,RF,D,17,Ferias,160
6,RF,D,18,Boyacá,160
6,RF,D,19,Minuto de Dios,160
6,RF,D,20,Granja - KR 77,160
6,RF,D,21,AV. Cali,160
6,RF,D,22,KR 90,160
6,RF,D,23,Quirigua,160
6,RF,D,24,Portal 80,160
7,RF,C,1,Polo - FINCOMERCIO,160
7,RF,C,2,Escuela Militar,160
7,RF,C,3,San Martín,160
7,RF,C,4,Rionegro,160
7,RF,C,5,Suba - Calle 95,160
7,RF,C,6,Suba - Calle 100,160
7,RF,C,7,Puentelargo,160
7,RF,C,8,AV. Suba - Calle 116,160
7,RF,C,9,Humedal Córdoba,160
7,RF,C,10,Niza - Calle 127,160
7,RF,C,11,Suba - AV. Boyacá,160
7,RF,C,12,Gratamira,160
7,RF,C,13,21 Ángeles,160
7,RF,C,14,Suba - TV 91,160
7,RF,C,15,La Campiña,160
7,RF,C,16,Portal Suba,160
8,RF,B,1,Terminal,160
8,RF,B,2,Calle 187,160
8,RF,B,3,Portal Norte,160
8,RF,B,4,Toberín - Foundever,160
8,RF,B,5,Calle 161,160
8,RF,B,6,Mazurén,160
8,RF,B,7,Calle 146,160
8,RF,B,8,Calle 142,160
8,RF,B,9,Alcalá - Col. S. Tomás Dominicos,160
8,RF,B,10,Prado,160
8,RF,B,11,Calle 127,160
8,RF,B,12,Pepe Sierra,160
8,RF,B,13,Calle 106,160
8,RF,B,14,Calle 100 - Marketmedios,160
8,RF,B,15,Virrey,160
8,RF,B,16,Calle 85 - GATO DUMAS,160
8,RF,B,17,Héroes,160
8,RF,B,18,Calle 76,160
8,RF,B,19,Calle 72,160
8,RF,B,20,Temporal - Flores,160
8,RF,B,21,Calle 63,160
8,RF,B,22,Temporal - Calle 57,160
8,RF,B,23,Temporal - Marly,160
8,RF,B,24,Calle 45 - American School Way,160
8,RF,B,25,AV. 39,160
8,RF,B,26,Temporal - Calle 34,160
8,RF,B,27,Calle 26,160
8,RF,B,28,Temporal - Calle 22,160
8,RF,B,29,Calle 19,160
8,RF,B,30,AV. Jiménez,160
8,RF,B,31,Tercer Milenio,160
8,RF,B,32,Tygua - San José,160
8,RF,B,33,Guatoque - Veraguas,160
L41,DU,multiple,1,San Mateo,160
L41,DU,multiple,2,Terreros Hsp. C.V.,160
L41,DU,multiple,3,Bosa,160
L41,DU,multiple,4,Alquería,160
L41,DU,multiple,5,NQS - Calle 30 S.,160
L41,DU,multiple,6,Guatoque - Veraguas,160
L41,DU,multiple,7,Tygua - San José,160
L41,DU,multiple,8,Bicentenario,160
