ruta,tipo,corredor,orden,estacion,capacidad
1,Fácil,Calle 26,1,Universidades - CityU,250
1,Fácil,Calle 26,2,Centro Memoria,250
1,Fácil,Calle 26,3,Concejo de Bogotá,250
1,Fácil,Calle 26,4,C. Universitaria - Lotería de Btá.,250
1,Fácil,Calle 26,5,Corferias,250
1,Fácil,Calle 26,6,Quinta Paredes,250
1,Fácil,Calle 26,7,Gobernación,250
1,Fácil,Calle 26,8,CAN - British Council,250
1,Fácil,Calle 26,9,Salitre - El Greco,250
1,Fácil,Calle 26,10,El Tiempo - CCB,250
1,Fácil,Calle 26,11,AV. Rojas - UNISALESIANA,250
1,Fácil,Calle 26,12,Normandía,250
1,Fácil,Calle 26,13,Modelia,250
1,Fácil,Calle 26,14,Portal Eldorado - C.C. NUESTRO BOGOTÁ,250
2,Fácil,Carrera 7,1,Museo Nacional - FNG,250
2,Fácil,Carrera 10,2,San Diego,250
2,Fácil,Carrera 10,3,Las Nieves,250
2,Fácil,Carrera 10,4,San Victorino,250
2,Fácil,Carrera 10,5,Bicentenario,250
2,Fácil,Carrera 10,6,San Bernardo,250
2,Fácil,Carrera 10,7,Policarpa,250
2,Fácil,Carrera 10,8,Ciudad Jardín - UAN,250
2,Fácil,Carrera 10,9,AV. 1° Mayo,250
2,Fácil,Carrera 10,10,Country Sur,250
2,Fácil,Carrera 10,11,Portal 20 de Julio,250
3,Fácil,Caracas Sur,1,Portal Tunal,160
3,Fácil,Caracas Sur,2,Parque,160
3,Fácil,Caracas Sur,3,Biblioteca,160
3,Fácil,Caracas Sur,4,Santa Lucía,160
3,Fácil,Caracas Sur,5,Calle 40 Sur,160
3,Fácil,Caracas Sur,6,Quiroga,160
3,Fácil,Caracas Sur,7,Olaya,160
3,Fácil,Caracas Sur,8,Restrepo,160
3,Fácil,Caracas Sur,9,Fucha,160
3,Fácil,Caracas Sur,10,Nariño,160
3,Fácil,Caracas Sur,11,Hortúa,160
3,Fácil,Caracas Sur,12,Hospital,160
3,Fácil,Caracas,13,Tercer Milenio,160
3,Fácil,Caracas,14,AV. Jiménez,160
3,Fácil,Caracas,15,Calle 19,160
3,Fácil,Caracas,16,Temporal - Calle 22,160
3,Fácil,Calle 26,17,Centro Memoria,160
3,Fácil,Calle 26,18,Concejo de Bogotá,160
3,Fácil,Calle 26,19,C. Universitaria - Lotería de Btá.,160
3,Fácil,Calle 26,20,Corferias,160
4,Fácil,NQS Sur,1,Portal Sur - JFK Coop. financ.,160
4,Fácil,NQS Sur,2,Perdomo,160
4,Fácil,NQS Sur,3,Paseo Villa del Río - Madelena,160
4,Fácil,NQS Sur,4,Sevillana,160
4,Fácil,NQS Sur,5,Venecia,160
4,Fácil,NQS Sur,6,Alquería,160
4,Fácil,NQS Sur,7,Gral. Santander,160
4,Fácil,NQS Sur,8,NQS - Calle 38A S.,160
4,Fácil,NQS Sur,9,NQS - Calle 30 S.,160
4,Fácil,NQS Sur,10,SENA,160
4,Fácil,NQS Sur,11,Santa Isabel,160
4,Fácil,NQS Sur,12,Comuneros,160
4,Fácil,NQS Central,13,Ricaurte,160
4,Fácil,NQS Central,14,Paloquemao,160
4,Fácil,NQS Central,15,CAD,160
4,Fácil,NQS Central,16,AV. El Dorado,160
4,Fácil,NQS Central,17,U. Nacional,160
4,Fácil,NQS Central,18,Campín - UAN,160
4,Fácil,NQS Central,19,Movistar Arena,160
