ruta,tipo,corredor,orden,estacion
1,RF,K,1,Universidades - CityU
1,RF,K,2,Centro Memoria
1,RF,K,3,Concejo de Bogotá
1,RF,K,4,C. Universitaria - Lotería de Btá.
1,RF,K,5,Corferias
1,RF,K,6,Quinta Paredes
1,RF,K,7,Gobernación
1,RF,K,8,CAN - British Council
1,RF,K,9,Salitre - El Greco
1,RF,K,10,El Tiempo - CCB
1,RF,K,11,AV. Rojas - UNISALESIANA
1,RF,K,12,Normandía
1,RF,K,13,Modelia
1,RF,K,14,Portal Eldorado - C.C. NUESTRO BOGOTÁ
2,RF,L,1,Museo Nacional - FNG
2,RF,L,2,San Diego
2,RF,L,3,Las Nieves
2,RF,L,4,San Victorino
2,RF,L,5,Bicentenario
2,RF,L,6,San Bernardo
2,RF,L,7,Policarpa
2,RF,L,8,Ciudad Jardín - UAN
2,RF,L,9,AV. 1° Mayo
2,RF,L,10,Country Sur
2,RF,L,11,Portal 20 de Julio
3,RF,H,1,Portal Tunal
3,RF,H,2,Parque
3,RF,H,3,Biblioteca
3,RF,H,4,Santa Lucía
3,RF,H,5,Calle 40 S.
3,RF,H,6,Quiroga
3,RF,H,7,Olaya
3,RF,H,8,Restrepo
3,RF,H,9,Fucha
3,RF,H,10,Nariño
3,RF,H,11,Hortúa
3,RF,H,12,Hospital
3,RF,H,13,Tercer Milenio
3,RF,H,14,AV. Jiménez
3,RF,H,15,Calle 19
3,RF,H,16,Temporal - Calle 22
3,RF,H,17,Centro Memoria
3,RF,H,18,Concejo de Bogotá
3,RF,H,19,C. Universitaria - Lotería de Btá.
3,RF,H,20,Corferias
4,RF,G,1,Portal Sur - JFK Coop. financ.
4,RF,G,2,Perdomo
4,RF,G,3,Paseo Villa del Río - Madelena
4,RF,G,4,Sevillana
4,RF,G,5,Venecia
4,RF,G,6,Alquería
4,RF,G,7,Gral. Santander
4,RF,G,8,NQS - Calle 38A S.
4,RF,G,9,NQS - Calle 30 S.
4,RF,G,10,SENA
4,RF,G,11,Santa Isabel
4,RF,G,12,Comuneros
4,RF,G,13,Ricaurte
4,RF,G,14,Paloquemao
4,RF,G,15,CAD
4,RF,G,16,AV. El Dorado
4,RF,G,17,U. Nacional
4,RF,G,18,Campín - UAN
4,RF,G,19,Movistar Arena
4,RF,G,20,7 de agosto
4,RF,G,21,AV. Chile
4,RF,G,22,NQS - Calle 75
4,RF,G,23,Escuela Militar
4,RF,G,24,Polo - FINCOMERCIO
4,RF,G,25,Héroes
5,RF,F,1,Portal Américas
5,RF,F,2,Patio Bonito
5,RF,F,3,Biblioteca Tintal
5,RF,F,4,TV 86
5,RF,F,5,Banderas
5,RF,F,6,Mandalay
5,RF,F,7,AV. Américas - AV. Boyacá
5,RF,F,8,Marsella
5,RF,F,9,Pradera - Plaza Central
5,RF,F,10,Distrito Grafiti
5,RF,F,11,Puente Aranda
5,RF,F,12,KR 43 - COMAPAN
5,RF,F,13,Zona Industrial
5,RF,F,14,CDS - Cra. 32
5,RF,F,15,Ricaurte
5,RF,F,16,San Façon - KR 22
5,RF,F,17,De la Sabana
5,RF,F,18,AV. Jiménez
5,RF,F,19,Calle 19
5,RF,F,20,Temporal - Calle 22
6,RF,D,1,Universidades - CityU
6,RF,D,2,Calle 26
6,RF,D,3,Temporal - Calle 34
6,RF,D,4,AV. 39
6,RF,D,5,Calle 45 - American School Way
6,RF,D,6,Temporal - Marly
6,RF,D,7,Temporal - Calle 57
6,RF,D,8,Calle 63
6,RF,D,9,Temporal - Flores
6,RF,D,10,Calle 72
6,RF,D,11,Calle 76
6,RF,D,12,Polo - FINCOMERCIO
6,RF,D,13,Escuela Militar
6,RF,D,14,KR 47
6,RF,D,15,KR 53
6,RF,D,16,AV. 68
6,RF,D,17,Ferias
6,RF,D,18,Boyacá
6,RF,D,19,Minuto de Dios
6,RF,D,20,Granja - KR 77
6,RF,D,21,AV. Cali
6,RF,D,22,KR 90
6,RF,D,23,Quirigua
6,RF,D,24,Portal 80
7,RF,C,1,Polo - FINCOMERCIO
7,RF,C,2,Escuela Militar
7,RF,C,3,San Martín
7,RF,C,4,Rionegro
7,RF,C,5,Suba - Calle 95
7,RF,C,6,Suba - Calle 100
7,RF,C,7,Puentelargo
7,RF,C,8,AV. Suba - Calle 116
7,RF,C,9,Humedal Córdoba
7,RF,C,10,Niza - Calle 127
7,RF,C,11,Suba - AV. Boyacá
7,RF,C,12,Gratamira
7,RF,C,13,21 Ángeles
7,RF,C,14,Suba - TV 91
7,RF,C,15,La Campiña
7,RF,C,16,Portal Suba
8,RF,B,1,Terminal
8,RF,B,2,Calle 187
8,RF,B,3,Portal Norte
8,RF,B,4,Toberín - Foundever
8,RF,B,5,Calle 161
8,RF,B,6,Mazurén
8,RF,B,7,Calle 146
8,RF,B,8,Calle 142
8,RF,B,9,Alcalá - Col. S. Tomás Dominicos
8,RF,B,10,Prado
8,RF,B,11,Calle 127
8,RF,B,12,Pepe Sierra
8,RF,B,13,Calle 106
8,RF,B,14,Calle 100 - Marketmedios
8,RF,B,15,Virrey
8,RF,B,16,Calle 85 - GATO DUMAS
8,RF,B,17,Héroes
8,RF,B,18,Calle 76
8,RF,B,19,Calle 72
8,RF,B,20,Temporal - Flores
8,RF,B,21,Calle 63
8,RF,B,22,Temporal - Calle 57
8,RF,B,23,Temporal - Marly
8,RF,B,24,Calle 45 - American School Way
8,RF,B,25,AV. 39
8,RF,B,26,Temporal - Calle 34
8,RF,B,27,Calle 26
8,RF,B,28,Temporal - Calle 22
8,RF,B,29,Calle 19
8,RF,B,30,AV. Jiménez
8,RF,B,31,Tercer Milenio
8,RF,B,32,Tygua - San José
8,RF,B,33,Guatoque - Veraguas
L41,DU,multiple,1,San Mateo
L41,DU,multiple,2,Terreros Hsp. C.V.
L41,DU,multiple,3,Bosa
L41,DU,multiple,4,Alquería
L41,DU,multiple,5,NQS - Calle 30 S.
L41,DU,multiple,6,Guatoque - Veraguas
L41,DU,multiple,7,Tygua - San José
L41,DU,multiple,8,Bicentenario
M47,EX,M,1,Portal Sur - JFK Coop. financ.
M47,EX,M,2,Perdomo
M47,EX,M,3,Paseo Villa del Río - Madelena
M47,EX,M,4,Sevillana
M47,EX,M,5,NQS - Calle 38A S.
M47,EX,M,6,Comuneros
M47,EX,M,7,Guatoque - Veraguas
M47,EX,M,8,Tygua - San José
M47,EX,M,9,San Victorino
M47,EX,M,10,Las Nieves
M47,EX,M,11,San Diego
M47,EX,M,12,Museo Nacional - FNG
M51,DU,multiple,1,Portal Américas
M51,DU,multiple,2,Patio Bonito
M51,DU,multiple,3,Biblioteca Tintal
M51,DU,multiple,4,Banderas
M51,DU,multiple,5,Mandalay
M51,DU,multiple,6,AV. Américas - AV. Boyacá
M51,DU,multiple,7,Marsella
M51,DU,multiple,8,Pradera - Plaza Central
M51,DU,multiple,9,Distrito Grafiti
M51,DU,multiple,10,Ricaurte
M51,DU,multiple,11,Las Nieves
M51,DU,multiple,12,San Diego
M51,DU,multiple,13,Museo Nacional - FNG
C84,DU,M,1,AK 7 - CL 73
C84,DU,M,2,CL 76 - KR 11
C84,DU,M,3,Polo - FINCOMERCIO
C84,DU,M,4,Puentelargo
C84,DU,M,5,21 Ángeles
C84,DU,M,6,AV. Suba - KR 110A
C84,DU,M,7,AV. Suba - KR 114D
A60,EX,A,1,Portal Américas
A60,EX,A,2,TV 86
A60,EX,A,3,Banderas
A60,EX,A,4,Distrito Grafiti
A60,EX,A,5,KR 43 - COMAPAN
A60,EX,A,6,Ricaurte
A60,EX,A,7,De la Sabana
A60,EX,A,8,Calle 26
A60,EX,A,9,Temporal - Calle 34
A60,EX,A,10,Calle 45 - American School Way
A60,EX,A,11,Temporal - Marly
A60,EX,A,12,Calle 63
A60,EX,A,13,Calle 76
A52,EX,A,1,Portal Sur - JFK Coop. financ.
A52,EX,A,2,Perdomo
A52,EX,A,3,Paseo Villa del Río - Madelena
A52,EX,A,4,Venecia
A52,EX,A,5,Alquería
A52,EX,A,6,Gral. Santander
A52,EX,A,7,NQS - Calle 30S.
A52,EX,A,8,Santa Isabel
A52,EX,A,9,Calle 76
A52,EX,A,10,Temporal - Flores
A61,EX,A,1,Portal Américas
A61,EX,A,2,Patio Bonito
A61,EX,A,3,Biblioteca Tintal
A61,EX,A,4,Banderas
A61,EX,A,5,Marsella
A61,EX,A,6,Zona Industrial
A61,EX,A,7,Calle 19
A61,EX,A,8,Temporal - Calle 22
A61,EX,A,9,Temporal - Calle 34
A61,EX,A,10,AV. 39
A61,EX,A,11,Temporal - Calle 57
A61,EX,A,12,Temporal - Flores
A61,EX,A,13,Calle 72
A61,EX,A,14,Polo - FINCOMERCIO
B10,EX,B,1,Portal 80
B10,EX,B,2,KR 90
B10,EX,B,3,AV. Cali
B10,EX,B,4,Granja - KR 77
B10,EX,B,5,Boyacá
B10,EX,B,6,AV. 68
B10,EX,B,7,KR 53
B10,EX,B,8,KR 47
B10,EX,B,9,Calle 85 - GATO DUMAS
B10,EX,B,10,Calle 100 - Marketmedios
B10,EX,B,11,Alcalá - Col. S. Tomás Dominicos
B10,EX,B,12,Calle 146
B10,EX,B,13,Mazurén
B10,EX,B,14,Toberín - Foundever
B10,EX,B,15,Portal Norte
B11,EX,B,1,Portal Sur - JFK Coop. financ.
B11,EX,B,2,Paseo Villa del Río - Madelena
B11,EX,B,3,Alquería
B11,EX,B,4,NQS - Calle 30 Sur
B11,EX,B,5,SENA
B11,EX,B,6,Santa Isabel
B11,EX,B,7,Ricaurte
B11,EX,B,8,Paloquemao
B11,EX,B,9,Campín - UAN
B11,EX,B,10,Escuela Militar
B11,EX,B,11,Héroes
B11,EX,B,12,Calle 85 - GATO DUMAS
B11,EX,B,13,Virrey
B11,EX,B,14,Calle 106
B11,EX,B,15,Calle 146
B11,EX,B,16,Toberín - Foundever
B11,EX,B,17,Calle 187
B11,EX,B,18,Terminal
B12,EX,B,1,Portal Sur - JFK Coop. financ.
B12,EX,B,2,Perdomo
B12,EX,B,3,Gral. Santander
B12,EX,B,4,Comuneros
B12,EX,B,5,Ricaurte
B12,EX,B,6,AV. El Dorado
B12,EX,B,7,U. Nacional
B12,EX,B,8,7 de agosto
B12,EX,B,9,NQS - Calle 75
B12,EX,B,10,La Castellana
