estacion,cluster,ipd_mean,ipd_max
21 Ángeles,1,0.03651568578236498,0.16574187947333774
7 de agosto,1,0.11909786192157484,0.4545053812565529
AV. 39,1,0.10247298149592476,0.4112584462761393
AV. 68,1,0.14907569420381497,0.6129672450093724
AV. Américas - AV. Boyacá,1,0.10477826619492929,0.32036508386822227
AV. Cali,1,0.08723294623055122,0.3964258969593255
AV. Chile,0,0.17901372138885066,0.8775503595453937
AV. El Dorado,1,0.09715742584804306,0.5186826396949096
AV. Jiménez,0,0.17290005233126923,0.6542416217436968
AV. Rojas - UNISALESIANA,1,0.08658218643239156,0.3469046283867479
AV. Suba - Calle 116,1,0.108538421318567,0.488252656876784
Alcalá - Col. S. Tomás Dominicos,1,0.1199651364862291,0.37003883806689614
Alquería,1,0.13065212502624804,0.3235740637769169
Banderas,3,0.22917299453880227,1.0326826759358145
Biblioteca,1,0.050716181418426466,0.17899153569541143
Biblioteca Tintal,1,0.11621995504465044,0.6447303932650345
Bicentenario,1,0.04264680187822548,0.1801551100630167
Bosa,3,0.1799938055347269,0.9853599969391693
Boyacá,1,0.14684113806965976,0.39242169982496977
C. Universitaria - Lotería de Btá.,1,0.08292965618798494,0.2409294055662732
CAD,1,0.15462622122178213,0.7518017436228608
CAN - British Council,1,0.1206120770329585,0.5790143556732129
CDS - Cra. 32,1,0.10547157956070587,0.5364511039059658
Calle 100 - Marketmedios,0,0.38506388510546624,1.7246846306217205
Calle 106,0,0.17792797146228687,0.8642914485602764
Calle 127,1,0.14182140937008036,0.5226147746757722
Calle 142,1,0.06573914123635576,0.20232833402984463
Calle 146,1,0.07940425387621841,0.3031790118597225
Calle 161,1,0.028442410380983663,0.08690253159076225
Calle 187,1,0.08591752762664778,0.29074485140564593
Calle 19,1,0.0634843015394943,0.27104540714936104
Calle 26,1,0.09716422046084701,0.5599605736881033
Calle 45 - American School Way,0,0.28149453870270746,0.7968026702513707
Calle 63,0,0.3234367229355109,0.8912662134235204
Calle 72,0,0.16588817275914794,0.663538866315782
Calle 76,0,0.21605472345128549,0.9180013783470897
Calle 85 - GATO DUMAS,1,0.1272633004459097,0.6165983472162202
Campín - UAN,2,0.2012977634448759,0.7657964975555982
Centro Memoria,1,0.07024845580007895,0.3211938914368705
Ciudad Jardín - UAN,1,0.09952862802495666,0.36625680688877704
Comuneros,0,0.24637634930700822,0.6946946458449526
Concejo de Bogotá,1,0.04759810698714148,0.18164222961594273
Consuelo,1,0.02736106638521117,0.14546091224856117
Corferias,1,0.10528095289943203,0.39351701465858363
Country Sur,1,0.1324120548299423,0.6173707656420746
Danubio,1,0.03247664901141571,0.1606743193197692
De la Sabana,0,0.21044749004436816,0.7859460925331382
Distrito Grafiti,0,0.2044724675660802,0.7854625423841426
El Tiempo - CCB,1,0.12106966511913247,0.5348834542825452
Escuela Militar,1,0.02054152603550796,0.09582311454035745
Ferias,1,0.08801497864929937,0.31357188061769786
Fucha,1,0.10423297321996079,0.25368702751263533
Gobernación,1,0.10602090480172455,0.6196690654708682
Gral. Santander,1,0.06748700262249098,0.2975082434243945
Granja - KR 77,1,0.07797284287759627,0.2873668263846287
Gratamira,1,0.03081986280030463,0.11728797432401726
Hortúa,1,0.10841674821831766,0.2765405042431974
Hospital,1,0.027356244943523757,0.06167950720262454
Humedal Córdoba,1,0.11374818622222695,0.369061490602441
Héroes,1,0.1435564344131044,0.6095963817224225
KR 43 - COMAPAN,0,0.2739298382051431,1.2772032374100721
KR 47,1,0.0678781982152601,0.24625483557302852
KR 53,0,0.28015417875887877,1.0305417092706204
KR 90,1,0.07362485568415718,0.284370639616692
La Campiña,1,0.029027102063271647,0.14977893528895264
La Castellana,1,0.12967189286617412,0.7289636107263012
La Despensa,1,0.047911759542487824,0.2531825281811973
Las Aguas - C. Col Americano,0,0.2602727230245181,1.0039164244968248
Las Nieves,0,0.1836450787170862,0.807075903157607
León XIII,1,0.12932981902361845,0.6886910430481438
Mandalay,1,0.044329206742489934,0.1927332475923537
Marsella,1,0.1073613669562649,0.3632188933078993
Mazurén,1,0.06691392067412293,0.24153239665838433
Minuto de Dios,1,0.09573547175754234,0.21115355565346494
Modelia,1,0.05785642014926693,0.2207164709011927
Molinos,1,0.11149254003554944,0.5826194893955523
Movistar Arena,2,0.16581406463280865,0.7208485962079015
Museo Nacional - FNG,1,0.13874097426370952,0.7585250397157492
Museo del Oro,0,0.32657502705583696,1.3305166289958024
NQS - Calle 30 S.,1,0.0935929359083592,0.27870049604949526
NQS - Calle 38A S.,0,0.19919647246382924,0.4402167408418738
NQS - Calle 75,1,0.09765009882615046,0.5211654759982779
Nariño,1,0.08679021564266536,0.24324554211962449
Niza - Calle 127,1,0.1376042810192403,0.5321925878212741
Normandía,1,0.12492812222004335,0.38513497789216006
Olaya,1,0.10098642362714665,0.2682835047735191
Paloquemao,0,0.19508387651278972,0.9219874818255966
Parque,1,0.06166846273290074,0.26847507533936404
Paseo Villa del Río - Madelena,1,0.10106722830480656,0.5347157648002405
Patio Bonito,1,0.026502143847296808,0.12846329288120462
Pepe Sierra,1,0.1440595479118436,0.699661809419492
Perdomo,1,0.07311716420518177,0.40581473237654525
Policarpa,0,0.2801531342366459,0.6526329243353783
Polo - FINCOMERCIO,1,0.07432348155768417,0.4078804050210263
Portal 20 de Julio,3,0.2580351218127899,1.2274923312883437
Portal 80,3,0.2698469088210412,1.0802235463380205
Portal Américas,3,0.2880500996628664,1.3392254601226994
Portal Eldorado - C.C. NUESTRO BOGOTÁ,3,0.43712310663734844,1.4509396771594212
Portal Norte,3,0.22180998598215151,0.7052095976932218
Portal Suba,3,0.23701336663716419,1.18368658565361
Portal Sur - JFK Coop. financ.,3,0.23233306568386367,1.197268594334319
Portal Tunal,3,0.27963897152384015,1.1952681208816178
Portal Usme,3,0.16371686852792303,0.8249799152789952
Pradera - Plaza Central,0,0.513354278675331,1.608410020449898
Prado,1,0.07044952172864284,0.23818582258545853
Puente Aranda,1,0.12421599730733152,0.5693743065526693
Puentelargo,1,0.08774212840906155,0.4070311130587205
Quinta Paredes,1,0.08690636032447675,0.33782316498834736
Quirigua,1,0.05170842854866756,0.24774432101721314
Quiroga,1,0.029029497223846432,0.11375318339657671
Restrepo,1,0.13056420113476805,0.3208260461622084
Ricaurte,1,0.10271141491807893,0.5567918680894575
Rionegro,1,0.11116887099477435,0.5728781725200358
SENA,1,6.388415672913117e-05,0.001533219761499148
Salitre - El Greco,1,0.0755025710949352,0.2367918635901623
San Bernardo,1,0.09712898718696462,0.2376189430084582
San Diego,1,0.05629619069039394,0.2768690855797868
San Façon - KR 22,0,0.2287585657909658,0.9553207678297546
San Martín,1,0.025168803373830765,0.1406867067385311
San Mateo,3,0.3198717429859957,1.5089471066158182
San Victorino,0,0.29201977221714936,1.1742749321524792
Santa Isabel,1,0.09788297953667142,0.32820393330873976
Santa Lucía,1,0.11243168990085188,0.466197657674195
Sevillana,1,0.0649322114298857,0.26184055610287643
Socorro,1,0.018653164691761422,0.0777214337019802
Suba - AV. Boyacá,1,0.14242152538640365,0.505313047947585
Suba - Calle 100,0,0.17394760882837693,0.8572946937896889
Suba - Calle 95,0,0.2800024703788561,1.271927722392638
Suba - TV 91,1,0.08003395770298621,0.3631069771258706
TV 86,1,0.08358401321269525,0.511974988201982
Temporal - Calle 22,1,0.07306038395002742,0.2598392438169101
Temporal - Calle 34,0,0.23320327058541626,1.135685156735483
Temporal - Calle 57,0,0.2574310265432827,0.8965400287908637
Temporal - Flores,0,0.26431531623475774,1.0748254959018282
Temporal - Marly,0,0.31895846519256926,0.8254017524866548
Tercer Milenio,1,0.05246809119892676,0.1829817325862761
Terminal,1,0.11925820770390416,0.4233450646362839
