estacion,icp,n_rutas,cap_plana
21 Ángeles,791.8801198801199,8,1300
7 de agosto,971.3333333333334,11,1940
AC 26 KR 103,61.53846153846153,1,80
AC 26 KR 106,73.84615384615385,1,80
AC 72 - KR 10,24.0,1,80
AC 80 - KR 107,60.0,1,80
AC 80 - KR 109A,66.66666666666667,1,80
AC 80 - KR 110,61.53846153846153,1,80
AC 80 - KR 111C,73.33333333333333,1,80
AC 80 - KR 112Bis,67.6923076923077,1,80
AC 80 - KR 114,153.84615384615387,2,160
AC 80 - KR 119,80.0,1,80
AC 80 - TV. 106,55.38461538461539,1,80
AC 85 - KR 13,30.769230769230766,1,80
AK 68 - CL 12,62.22222222222222,1,80
AK 68 - CL 13,44.44444444444444,1,80
AK 68 - CL 19,26.66666666666667,1,80
AK 68 - CL 9A,80.0,1,80
AK 7 - AC 134,160.0,2,160
AK 7 - CL 100,96.38095238095238,2,160
AK 7 - CL 101,91.6923076923077,2,160
AK 7 - CL 106,48.0,2,160
AK 7 - CL 110,53.473684210526315,2,160
AK 7 - CL 116,224.68206715884736,4,320
AK 7 - CL 118,126.31578947368422,2,160
AK 7 - CL 119B,42.35294117647059,1,80
AK 7 - CL 124,106.50154798761609,2,160
AK 7 - CL 127B,124.3343653250774,2,160
AK 7 - CL 130B,70.58823529411765,1,80
AK 7 - CL 132,71.57894736842105,1,80
AK 7 - CL 33,43.07692307692307,1,80
AK 7 - CL 34,40.0,1,80
AK 7 - CL 36,36.92307692307693,1,80
AK 7 - CL 37,33.33333333333333,1,80
AK 7 - CL 40,105.43589743589743,4,320
AK 7 - CL 45,48.61538461538461,2,160
AK 7 - CL 50,48.0,2,160
AK 7 - CL 51,48.0,2,160
AK 7 - CL 55,24.0,1,80
AK 7 - CL 56,24.0,1,80
AK 7 - CL 57,48.0,2,160
AK 7 - CL 60,24.0,1,80
AK 7 - CL 61,72.0,3,240
AK 7 - CL 66,99.28205128205128,4,320
AK 7 - CL 70A,58.28571428571429,2,160
AK 7 - CL 71,54.76923076923077,2,160
AK 7 - CL 73,106.66666666666667,2,160
AK 7 - CL 74,74.8178137651822,2,160
AK 7 - CL 78,32.94117647058823,1,80
AK 7 - CL 79,29.47368421052632,1,80
AK 7 - CL 81,43.07692307692307,1,80
AK 7 - CL 82,41.904761904761905,1,80
AK 7 - CL 86,49.23076923076923,1,80
AK 7 - CL 87,49.523809523809526,1,80
AK 7 - CL 90,79.38461538461539,2,160
AK 7 - CL 92,81.14285714285714,2,160
AK 7 - CL 94,174.3003663003663,4,320
AK 7 - CL 97A,24.0,1,80
AV. 1° de Mayo,1210.550737188508,14,1680
AV. 39,1190.050616050616,13,2440
AV. 68,706.3736263736264,11,1600
AV. Américas - AV. Boyacá,576.6666666666667,9,1620
AV. Cali,1182.871794871795,9,1620
AV. Chile,850.9666666666667,11,1940
AV. El Dorado,616.6666666666667,11,1940
AV. Jiménez,1608.7445887445888,19,3130
AV. Rojas - UNISALESIANA,1033.880629174747,9,1370
AV. Suba - Calle 116,844.965700965701,9,1800
AV. Suba - Calle 95,128.0,2,320
AV. Suba - KR 110,64.0,1,80
AV. Suba - KR 110A,57.142857142857146,1,80
AV. Suba - KR 114D,160.0,2,160
Aeropuerto El Dorado,80.0,1,80
Alcalá - Col. S. Tomás Dominicos,2088.947118241236,16,3010
Alquería,590.8888888888889,7,1300
Banderas,1744.4981684981685,16,2920
Biblioteca,582.5454545454545,3,660
Biblioteca Tintal,1560.6739926739926,11,2120
Bicentenario,1202.7851075652934,16,2000
Bosa,614.6666666666667,9,1530
Boyacá,655.6190476190476,7,1120
C. Universitaria - Lotería de Btá.,766.8571428571429,10,1690
CAD,791.6666666666667,10,1690
CAN - British Council,772.1247575953458,12,1770
CDS - Cra. 32,315.8181818181818,4,820
CL 72 - KR 10,64.0,1,80
CL 76 - KR 11,90.47619047619048,2,160
CL 85 - KR 11,32.0,1,80
CL 85 - KR 16A,24.0,1,80
Calle 100 - Marketmedios,1111.9931083409344,13,2260
Calle 106,769.7171717171717,9,1980
Calle 127,1453.932538050185,12,2370
Calle 142,1974.1874067961026,14,3050
Calle 146,1892.0038367429672,14,2870
Calle 161,1932.167832167832,9,2160
Calle 187,998.2768865121807,7,1120
Calle 19,1416.2077922077924,14,2420
Calle 26,941.6277056277056,11,1940
Calle 40 S.,1826.5393430099311,15,2580
Calle 45 - American School Way,949.987345987346,14,2420
Calle 63,871.4358974358975,13,2260
Calle 72,884.7539417104636,13,2260
Calle 76,1379.2173913043478,16,2920
Calle 85 - GATO DUMAS,1197.0821335527216,15,2940
Campín - UAN,614.4,9,1440
Centro Memoria,740.5079365079365,7,1130
Ciudad Jardín - UAN,307.39393939393943,3,480
Comuneros,440.0,7,1120
Concejo de Bogotá,556.8571428571429,8,1210
Consuelo,971.4308300395256,9,1380
Corferias,621.6630036630037,10,1530
Country Sur,990.6087019275874,9,1120
Danubio,1485.3147330078277,11,1700
De la Sabana,280.72727272727275,4,640
Distrito Grafiti,459.74825174825173,6,960
El Tiempo - CCB,1077.3346261581555,11,1690
Escuela Militar,664.4,9,1620
Ferias,428.3809523809524,5,980
Fucha,611.0434782608695,7,1300
Gobernación,573.4891187244128,10,1530
Gral. Santander,1225.085918003565,13,2260
Granja - KR 77,1508.4981684981685,13,2260
Gratamira,308.57142857142856,3,480
Guatoque - Veraguas,814.0,11,1940
Hortúa,731.7014647756336,9,1800
Hospital,425.27272727272725,5,1160
Humedal Córdoba,215.61904761904762,3,480
Héroes,1195.3511705685619,16,3280
KR 11 - CL 78,72.61538461538461,2,160
KR 43 - COMAPAN,171.07692307692307,3,480
KR 47,449.7435897435897,9,1280
KR 53,144.0,3,480
KR 7 - CL 73,80.0,1,80
KR 90,961.4358974358975,7,1120
La Campiña,2273.934065934066,14,2600
La Castellana,496.0,6,1320
La Despensa,670.5133689839572,9,1530
Las Aguas - C. Col Americano,570.0,3,570
Las Nieves,632.6899766899767,7,1120
León XIII,901.4533571004159,9,1530
Mandalay,498.53146853146853,6,1140
Marsella,681.2827172827173,8,1460
Mazurén,1920.111662846957,12,2550
Minuto de Dios,849.7435897435897,9,1620
Modelia,1337.5014005602243,9,1530
Molinos,1341.982279868469,9,1620
Movistar Arena,521.2,9,1620
Museo Nacional - FNG,1263.8974358974358,13,1440
Museo del Oro,475.0,3,570
NQS - Calle 30 S.,566.9333333333334,7,1300
NQS - Calle 38A S.,369.06666666666666,5,800
NQS - Calle 75,729.6,9,1440
Nariño,558.812629399586,7,1300
Niza - Calle 127,897.7316017316017,9,1620
Normandía,657.9439775910364,5,890
Olaya,800.1190476190477,7,1300
Paloquemao,692.0,11,2120
Parque,433.5238095238095,3,480
Paseo Villa del Río - Madelena,932.1777777777778,7,1300
Patio Bonito,1378.798534798535,9,1620
Pepe Sierra,1086.768476621418,11,2300
Perdomo,1093.8666666666668,7,1300
Policarpa,120.0,4,400
Polo - FINCOMERCIO,1092.9802197802198,13,1940
Portal 20 de Julio,1440.0,11,1440
Portal 80,2260.0,13,2260
Portal Américas,2760.0,15,2760
Portal Eldorado - C.C. NUESTRO BOGOTÁ,1985.3846153846155,13,2010
Portal Norte,3490.6060606060605,18,3510
Portal Suba,2600.0,14,2600
Portal Sur - JFK Coop. financ.,2510.0,14,2510
Portal Tunal,1620.0,9,1620
Portal Usme,2520.0,15,2520
Pradera - Plaza Central,240.0,5,800
Prado,1558.0066353084258,14,2870
Puente Aranda,250.66666666666669,5,800
Puente Aéreo,67.6923076923077,1,80
Puentelargo,816.6666666666666,12,2120
Quinta Paredes,407.44444444444446,8,1290
Quirigua,868.7619047619048,5,980
Quiroga,1238.6493506493507,12,2040
Restrepo,1028.009167303285,11,2120
Ricaurte,1406.7319347319349,21,3360
Rionegro,452.6666666666667,7,1300
SENA,521.7777777777778,7,1120
Salitre - El Greco,1001.5882352941176,12,1930
San Bernardo,671.0588235294117,7,1120
San Diego,975.6803856618099,11,1280
San Façon - KR 22,256.0,3,480
San Martín,494.0,7,1300
San Mateo,1850.0,11,1850
San Victorino,592.1118881118881,10,1200
Santa Isabel,1003.1919191919192,11,1940
Santa Lucía,987.0513833992095,9,1620
Sevillana,657.6,7,1120
Socorro,1073.3926218708827,8,1640
Suba - AV. Boyacá,545.8181818181818,6,960
Suba - Calle 100,456.0,6,1140
Suba - Calle 95,320.0,4,820
Suba - TV 91,1947.8681318681317,14,2600
TV 86,918.6666666666667,7,1300
Temporal - Calle 22,805.5151515151515,11,1940
Temporal - Calle 34,925.986013986014,15,2400
Temporal - Calle 57,999.9099332040508,14,2420
Temporal - Flores,1129.2380952380952,11,2120
Temporal - Marly,923.2052653229124,12,1920
Tercer Milenio,822.5352686529156,10,1780
Terminal,1120.0,7,1120
Terreros - Hospital C.V.,1455.726678550208,11,1850
Toberín - Foundever,3619.2699999630945,22,4150
Tygua - San José,806.969696969697,9,1620
U. Nacional,847.6,13,2260
Universidades - CityU,1870.0,10,1870
Venecia,851.5450980392156,9,1620
Virrey,1382.826088943736,15,3120
Zona Industrial,432.3076923076923,7,1300
