estacion,val_dia,pico_manana,pico_tarde
Portal Américas,74005.0,14319.0,1539.0
Portal Norte,71398.0,9387.0,5490.0
Portal Suba,56786.0,11707.0,1876.0
Portal 80,56256.0,9169.0,2774.0
San Mateo,55285.0,10917.0,1307.0
Portal Sur - JFK Coop. financ.,54274.0,11550.0,1283.0
Portal Eldorado - C.C. NUESTRO BOGOTÁ,49110.0,6011.0,5723.0
Portal Tunal,42275.0,7443.0,1522.0
Calle 100 - Marketmedios,40028.0,646.0,7492.0
Portal Usme,38034.0,7917.0,854.0
Banderas,36878.0,6776.0,1353.0
Portal 20 de Julio,34514.0,6775.0,865.0
AV. Jiménez,27251.0,209.0,4218.0
Temporal - Marly,27045.0,734.0,2916.0
Calle 76,26799.0,454.0,4834.0
Toberín - Foundever,26699.0,3613.0,2658.0
Temporal - Flores,26647.0,455.0,4621.0
Terreros - Hospital C.V.,25652.0,6220.0,459.0
Calle 63,24306.0,541.0,2923.0
Calle 45 - American School Way,23560.0,620.0,2836.0
Alcalá - Col. S. Tomás Dominicos,23139.0,2043.0,2996.0
Temporal - Calle 57,22887.0,706.0,3502.0
Calle 127,19287.0,732.0,2947.0
AV. 1° Mayo,18019.0,3118.0,694.0
Temporal - Calle 34,17788.0,435.0,4095.0
San Victorino,16754.0,128.0,2779.0
Biblioteca Tintal,16601.0,3792.0,377.0
Museo Nacional - FNG,16245.0,237.0,3753.0
Héroes,15770.0,188.0,2824.0
Virrey,14918.0,169.0,3424.0
Pepe Sierra,14709.0,510.0,2971.0
Calle 85 - GATO DUMAS,14371.0,179.0,2888.0
Suba - TV 91,14333.0,2641.0,625.0
Museo del Oro,14233.0,119.0,2469.0
AV. Chile,14141.0,460.0,2909.0
Ricaurte,13739.0,389.0,3064.0
Molinos,13445.0,2880.0,381.0
U. Nacional,13215.0,224.0,1812.0
Las Aguas - C. Col Americano,13084.0,287.0,2153.0
Universidades - CityU,12920.0,615.0,1864.0
Calle 106,12842.0,298.0,2594.0
Paloquemao,12692.0,355.0,2487.0
Restrepo,12540.0,1257.0,1036.0
Calle 72,12506.0,338.0,2238.0
Terminal,12324.0,1825.0,960.0
Calle 146,12277.0,1610.0,1070.0
El Tiempo - CCB,12267.0,341.0,2258.0
Country Sur,12232.0,2328.0,353.0
Calle 142,12063.0,1348.0,1234.0
Mazurén,12013.0,1516.0,1041.0
Pradera - Plaza Central,11945.0,361.0,1546.0
Niza - Calle 127,11583.0,470.0,1863.0
Campín - UAN,11547.0,313.0,1835.0
