estacion,validaciones
Portal Norte,873.42
Portal Américas,869.69
Portal 80,696.09
Portal Suba,686.12
San Mateo,685.27
Portal Sur - JFK Coop. financ.,662.89
Portal Eldorado - C.C. NUESTRO BOGOTÁ,601.24
Calle 100 - Marketmedios,500.49
Portal Tunal,487.87
Portal Usme,454.57
Banderas,442.34
Portal 20 de Julio,419.96
Temporal - Marly,342.34
Toberín - Foundever,339.09
Calle 76,336.59
AV. Jiménez,334.46
Temporal - Flores,332.56
Terreros - Hospital C.V.,325.44
Calle 63,302.89
Temporal - Calle 57,302.24
Calle 45 - American School Way,296.5
Alcalá - Col. S. Tomás Dominicos,292.67
Temporal - Calle 34,249.59
Calle 127,241.43
AV. 1° Mayo,219.41
San Victorino,212.84
Museo Nacional - FNG,207.48
Biblioteca Tintal,203.37
Héroes,188.5
Virrey,188.19
Museo del Oro,186.51
Pepe Sierra,184.67
AV. Chile,181.03
Calle 85 - GATO DUMAS,179.16
Suba - TV 91,179.06
Las Aguas - C. Col Americano,170.0
Ricaurte,169.43
U. Nacional,168.76
Universidades - CityU,168.76
Calle 72,163.95
Calle 106,163.36
Terminal,161.62
Molinos,161.11
Paloquemao,160.29
Calle 146,156.76
El Tiempo - CCB,156.7
Mazurén,154.17
Calle 142,154.0
Restrepo,153.57
Country Sur,150.97
Pradera - Plaza Central,147.54
CAD,146.77
Niza - Calle 127,141.94
Las Nieves,140.29
Campín - UAN,140.24
Granja - KR 77,139.04
León XIII,138.09
7 de agosto,135.55
AV. 39,132.87
Prado,129.0
Bosa,127.99
Santa Lucía,125.78
Comuneros,123.81
AV. 68,123.01
AV. Cali,120.83
Boyacá,116.07
Santa Isabel,113.68
Calle 40 Sur,111.07
Calle 19,110.95
Distrito Grafiti,110.8
CAN - British Council,110.64
Paseo Villa del Río - Madelena,108.86
Venecia,107.24
AV. Suba - Calle 116,107.2
Suba - Calle 95,104.89
AV. Rojas - UNISALESIANA,104.69
Calle 187,103.76
Movistar Arena,98.93
Normandía,96.6
Polo - FINCOMERCIO,95.63
Calle 26,94.58
Olaya,93.89
Gral. Santander,93.36
Suba - Calle 100,93.16
Perdomo,92.76
Hortúa,92.65
Modelia,91.82
Salitre - El Greco,91.73
Suba - AV. Boyacá,90.85
Alquería,89.32
NQS - Calle 38A S.,88.63
TV 86,88.47
Minuto de Dios,88.33
NQS - Calle 75,85.84
KR 90,85.41
Puentelargo,84.62
Marsella,84.12
Tygua-San José,81.56
Patio Bonito,78.73
La Campiña,78.57
La Castellana,78.43
Corferias,75.48
San Bernardo,74.97
Fucha,74.57
Gobernación,73.77
San Façon - KR 22,73.24
C. Universitaria - Lotería de Btá.,72.6
Zona Industrial,71.57
De la Sabana,70.9
AV. El Dorado,69.8
AV. Américas - AV. Boyacá,69.78
Temporal - Calle 22,67.79
Calle 161,66.41
San Diego,65.91
Centro Memoria,62.26
NQS - Calle 30 S.,61.78
Rionegro,59.61
Bicentenario,58.91
Guatoque-Veraguas,56.93
Nariño,55.76
Danubio,55.61
Tercer Milenio,55.52
KR 43 - COMAPAN,55.37
Quirigua,53.48
Sevillana,50.51
KR 53,49.08
Ferias,45.69
Quinta Paredes,42.83
Quiroga,42.61
Policarpa,40.82
CDS - Cra. 32,39.71
La Despensa,38.37
Puente Aranda,36.94
KR 47,36.92
Consuelo,35.69
Ciudad Jardín - UAN,35.64
21 Ángeles,34.27
Biblioteca,33.22
Concejo de Bogotá,31.77
Parque,31.04
Humedal Córdoba,29.55
Mandalay,25.33
Socorro,23.68
Escuela Militar,16.3
San Martín,14.96
Hospital,13.79
Gratamira,11.25
SENA,0.8
