estacion,am_share,pm_share,perfil
21 Ángeles,0.461,0.148,Origen (pico AM)
7 de agosto,0.096,0.42,Destino (pico PM)
AV. 1° Mayo,0.412,0.099,Origen (pico AM)
AV. 39,0.053,0.408,Destino (pico PM)
AV. 68,0.14,0.393,Destino (pico PM)
AV. Américas - AV. Boyacá,0.326,0.191,Origen (pico AM)
AV. Cali,0.466,0.118,Origen (pico AM)
AV. Chile,0.099,0.458,Destino (pico PM)
AV. El Dorado,0.09,0.481,Destino (pico PM)
AV. Jiménez,0.033,0.407,Destino (pico PM)
AV. Rojas - UNISALESIANA,0.219,0.37,Destino (pico PM)
AV. Suba - Calle 116,0.113,0.449,Destino (pico PM)
Alcalá - Col. S. Tomás Dominicos,0.264,0.328,Destino (pico PM)
Alquería,0.238,0.235,Mixto / plano
Banderas,0.453,0.092,Origen (pico AM)
Biblioteca,0.327,0.145,Origen (pico AM)
Biblioteca Tintal,0.495,0.059,Origen (pico AM)
Bicentenario,0.173,0.427,Destino (pico PM)
Bosa,0.474,0.084,Origen (pico AM)
Boyacá,0.186,0.293,Destino (pico PM)
C. Universitaria - Lotería de Btá.,0.126,0.331,Destino (pico PM)
CAD,0.097,0.444,Destino (pico PM)
CAN - British Council,0.082,0.463,Destino (pico PM)
CDS - Cra. 32,0.074,0.481,Destino (pico PM)
Calle 100 - Marketmedios,0.068,0.461,Destino (pico PM)
Calle 106,0.089,0.47,Destino (pico PM)
Calle 127,0.128,0.39,Destino (pico PM)
Calle 142,0.326,0.26,Origen (pico AM)
Calle 146,0.39,0.223,Origen (pico AM)
Calle 161,0.286,0.298,Mixto / plano
Calle 187,0.348,0.192,Origen (pico AM)
Calle 19,0.066,0.425,Destino (pico PM)
Calle 26,0.054,0.52,Destino (pico PM)
Calle 40 Sur,0.444,0.106,Origen (pico AM)
Calle 45 - American School Way,0.097,0.313,Destino (pico PM)
Calle 63,0.074,0.32,Destino (pico PM)
Calle 72,0.073,0.426,Destino (pico PM)
Calle 76,0.064,0.433,Destino (pico PM)
Calle 85 - GATO DUMAS,0.049,0.482,Destino (pico PM)
Campín - UAN,0.084,0.388,Destino (pico PM)
Centro Memoria,0.118,0.405,Destino (pico PM)
Ciudad Jardín - UAN,0.393,0.137,Origen (pico AM)
Comuneros,0.286,0.267,Mixto / plano
Concejo de Bogotá,0.165,0.361,Destino (pico PM)
Consuelo,0.448,0.093,Origen (pico AM)
Corferias,0.106,0.384,Destino (pico PM)
Country Sur,0.467,0.077,Origen (pico AM)
Danubio,0.417,0.074,Origen (pico AM)
De la Sabana,0.043,0.394,Destino (pico PM)
Distrito Grafiti,0.189,0.353,Destino (pico PM)
El Tiempo - CCB,0.098,0.437,Destino (pico PM)
Escuela Militar,0.111,0.426,Destino (pico PM)
Ferias,0.227,0.326,Destino (pico PM)
Fucha,0.146,0.264,Destino (pico PM)
Gobernación,0.056,0.539,Destino (pico PM)
Gral. Santander,0.377,0.157,Origen (pico AM)
Granja - KR 77,0.388,0.159,Origen (pico AM)
Gratamira,0.198,0.393,Destino (pico PM)
Guatoque-Veraguas,0.179,0.414,Destino (pico PM)
Hortúa,0.202,0.263,Destino (pico PM)
Hospital,0.188,0.247,Destino (pico PM)
Humedal Córdoba,0.219,0.352,Destino (pico PM)
Héroes,0.045,0.434,Destino (pico PM)
KR 43 - COMAPAN,0.176,0.4,Destino (pico PM)
KR 47,0.236,0.33,Destino (pico PM)
KR 53,0.208,0.339,Destino (pico PM)
KR 90,0.404,0.136,Origen (pico AM)
La Campiña,0.532,0.08,Origen (pico AM)
La Castellana,0.063,0.554,Destino (pico PM)
La Despensa,0.435,0.115,Origen (pico AM)
Las Aguas - C. Col Americano,0.063,0.415,Destino (pico PM)
Las Nieves,0.035,0.465,Destino (pico PM)
León XIII,0.431,0.072,Origen (pico AM)
Mandalay,0.461,0.137,Origen (pico AM)
Marsella,0.37,0.175,Origen (pico AM)
Mazurén,0.369,0.233,Origen (pico AM)
Minuto de Dios,0.242,0.238,Mixto / plano
Modelia,0.267,0.351,Destino (pico PM)
Molinos,0.444,0.075,Origen (pico AM)
Movistar Arena,0.088,0.428,Destino (pico PM)
Museo Nacional - FNG,0.042,0.535,Destino (pico PM)
Museo del Oro,0.031,0.444,Destino (pico PM)
NQS - Calle 30 S.,0.298,0.234,Origen (pico AM)
NQS - Calle 38A S.,0.152,0.253,Destino (pico PM)
NQS - Calle 75,0.063,0.524,Destino (pico PM)
Nariño,0.292,0.202,Origen (pico AM)
Niza - Calle 127,0.123,0.407,Destino (pico PM)
Normandía,0.284,0.291,Mixto / plano
Olaya,0.291,0.177,Origen (pico AM)
Paloquemao,0.068,0.451,Destino (pico PM)
Parque,0.393,0.11,Origen (pico AM)
Paseo Villa del Río - Madelena,0.456,0.098,Origen (pico AM)
Patio Bonito,0.395,0.072,Origen (pico AM)
Pepe Sierra,0.106,0.478,Destino (pico PM)
Perdomo,0.478,0.077,Origen (pico AM)
Policarpa,0.26,0.208,Origen (pico AM)
Polo - FINCOMERCIO,0.092,0.485,Destino (pico PM)
Portal 20 de Julio,0.446,0.067,Origen (pico AM)
Portal 80,0.421,0.128,Origen (pico AM)
Portal Américas,0.404,0.058,Origen (pico AM)
Portal Eldorado - C.C. NUESTRO BOGOTÁ,0.347,0.227,Origen (pico AM)
Portal Norte,0.35,0.2,Origen (pico AM)
Portal Suba,0.482,0.087,Origen (pico AM)
Portal Sur - JFK Coop. financ.,0.437,0.063,Origen (pico AM)
Portal Tunal,0.38,0.099,Origen (pico AM)
Portal Usme,0.426,0.062,Origen (pico AM)
Pradera - Plaza Central,0.126,0.309,Destino (pico PM)
Prado,0.251,0.335,Destino (pico PM)
Puente Aranda,0.154,0.437,Destino (pico PM)
Puentelargo,0.127,0.452,Destino (pico PM)
Quinta Paredes,0.147,0.39,Destino (pico PM)
Quirigua,0.47,0.122,Origen (pico AM)
Quiroga,0.378,0.138,Origen (pico AM)
Restrepo,0.267,0.211,Origen (pico AM)
Ricaurte,0.069,0.494,Destino (pico PM)
Rionegro,0.119,0.458,Destino (pico PM)
SENA,0.0,1.0,Destino (pico PM)
Salitre - El Greco,0.097,0.341,Destino (pico PM)
San Bernardo,0.261,0.214,Mixto / plano
San Diego,0.045,0.485,Destino (pico PM)
San Façon - KR 22,0.049,0.438,Destino (pico PM)
San Martín,0.122,0.503,Destino (pico PM)
San Mateo,0.395,0.064,Origen (pico AM)
San Victorino,0.028,0.436,Destino (pico PM)
Santa Isabel,0.346,0.221,Origen (pico AM)
Santa Lucía,0.381,0.112,Origen (pico AM)
Sevillana,0.371,0.171,Origen (pico AM)
Socorro,0.393,0.115,Origen (pico AM)
Suba - AV. Boyacá,0.25,0.373,Destino (pico PM)
Suba - Calle 100,0.076,0.486,Destino (pico PM)
Suba - Calle 95,0.095,0.432,Destino (pico PM)
Suba - TV 91,0.459,0.117,Origen (pico AM)
TV 86,0.556,0.062,Origen (pico AM)
Temporal - Calle 22,0.116,0.349,Destino (pico PM)
Temporal - Calle 34,0.07,0.465,Destino (pico PM)
Temporal - Calle 57,0.1,0.365,Destino (pico PM)
Temporal - Flores,0.069,0.416,Destino (pico PM)
Temporal - Marly,0.108,0.279,Destino (pico PM)
Tercer Milenio,0.143,0.366,Destino (pico PM)
Terminal,0.39,0.204,Origen (pico AM)
Terreros - Hospital C.V.,0.462,0.047,Origen (pico AM)
Toberín - Foundever,0.375,0.238,Origen (pico AM)
Tygua-San José,0.117,0.415,Destino (pico PM)
U. Nacional,0.057,0.382,Destino (pico PM)
Universidades - CityU,0.116,0.365,Destino (pico PM)
Venecia,0.337,0.201,Origen (pico AM)
Virrey,0.043,0.548,Destino (pico PM)
Zona Industrial,0.084,0.457,Destino (pico PM)
