estacion,n_registros,dias_operacion,q1,q3,iqr,upper_fence,n_outliers,pct_outliers,max_ipd
Bosa,39816,491,0.0397,0.1512,0.1116,0.3186,6196,15.5616,2.3281
Terreros - Hospital C.V.,38701,491,0.0278,0.1561,0.1283,0.3484,5701,14.7309,1.6329
Suba - Calle 100,39018,491,0.0601,0.1733,0.1133,0.3432,5320,13.6347,0.9164
León XIII,38752,491,0.027,0.1089,0.0819,0.2317,5223,13.478,0.6473
La Campiña,38631,491,0.0066,0.0277,0.0211,0.0593,5134,13.2898,0.2542
Pepe Sierra,39109,491,0.0716,0.2035,0.1319,0.4013,5181,13.2476,1.1013
Virrey,38923,491,0.0274,0.1457,0.1183,0.3232,5148,13.2261,0.8087
NQS - Calle 75,38215,491,0.0303,0.1088,0.0785,0.2266,5039,13.1859,0.8995
Portal Tunal,42546,491,0.0813,0.2707,0.1894,0.5548,5603,13.1693,1.5566
La Castellana,37622,491,0.0517,0.2192,0.1675,0.4704,4889,12.9951,1.4631
TV 86,39244,491,0.0112,0.0831,0.0719,0.1909,5087,12.9625,0.7769
San Mateo,39612,491,0.0605,0.2974,0.2368,0.6526,5127,12.943,1.4966
Niza - Calle 127,40067,491,0.0634,0.1567,0.0932,0.2966,5109,12.7511,0.6527
Puentelargo,39002,491,0.0354,0.0967,0.0614,0.1888,4967,12.7352,0.5056
Portal Américas,41781,491,0.0452,0.2988,0.2536,0.6792,5313,12.7163,1.6873
Portal Suba,40637,491,0.0488,0.2212,0.1724,0.4798,5157,12.6904,1.2652
Biblioteca Tintal,40081,491,0.0168,0.1212,0.1044,0.2778,5083,12.6818,1.1069
El Tiempo - CCB,38439,491,0.0509,0.1232,0.0724,0.2318,4839,12.5888,0.6591
AV. El Dorado,38638,491,0.0379,0.1016,0.0637,0.1971,4803,12.4308,0.9456
Portal Sur - JFK Coop. financ.,40201,491,0.0427,0.2373,0.1946,0.5291,4967,12.3554,1.3398
