ID_Viaje,Ruta,Hora_Salida_Origen,Hora_Llegada_Destino
TTA750001.1.12293,D81,04:00:00,05:06:45
TTA750001.2.12383,L81,05:08:00,06:33:45
TTA750002.1.12113,MK86,16:05:00,16:51:00
TTA750002.1.12297,ML82,04:00:00,05:49:30
TTA750015.1.12771,P85-M85,17:13:00,18:37:15
TTA750020.6.12298,M82,22:40:45,23:24:45
TTA750046.5.12114,MK86,20:43:00,22:22:00
TTA750048.1.12387,MC84,05:00:00,06:37:15
TTA750149.7.12775,M86,23:00:00,23:45:00
TTA7D0001.1.12467,C15,04:00:00,05:28:15
TTA7D0001.1.12815,F28,17:03:45,18:15:30
TTA7D0001.2.12612,B28,18:16:00,19:25:30
TTA7D0001.2.12813,H15,05:30:00,07:07:00
TTA7D0002.1.12874,B12,04:00:00,04:57:30
TTA7D0002.2.12873,G12,04:57:30,05:56:15
TTA7D0003.1.10056,2,04:00:00,04:26:00
TTA7D0003.1.10067,G47,04:30:00,05:06:00
TTA7D0003.1.11163,F23,16:57:15,17:41:45
TTA7D0003.1.11868,F32,15:15:00,16:13:15
TTA7D0003.1.12047,C19,18:11:15,19:34:30
TTA7D0003.1.12871,D22,05:09:30,06:16:00
TTA7D0003.2.12048,F19,19:34:30,20:59:15
TTA7D0003.2.12872,G22,06:16:00,07:15:45
TTA7D0004.1.11712,J23,04:00:00,04:53:00
TTA7D0004.1.11873,F60,21:33:30,22:36:15
TTA7D0004.1.12011,B18,07:00:00,08:25:00
TTA7D0004.1.12644,H27,17:34:30,19:31:30
TTA7D0004.2.10039,M47,05:48:00,06:37:45
TTA7D0004.2.12839,B27,19:31:30,20:53:30
TTA7D0005.1.11870,L41,06:03:30,06:55:45
TTA7D0005.1.11926,K43,04:00:00,04:59:45
TTA7D0005.2.11458,G43,05:00:00,06:00:45
TTA7D0005.2.11878,G41,19:17:45,20:08:30
TTA7D0005.2.12012,L18,08:46:45,10:15:30
TTA7D0006.1.12078,G46,05:04:30,06:06:00
TTA7D0006.1.12243,D24,17:33:30,18:41:15
TTA7D0006.2.11872,B46,06:08:30,07:33:30
TTA7D0007.1.11272,B50,08:30:00,09:23:45
TTA7D0007.1.11909,C17,04:00:00,05:24:00
TTA7D0007.2.11910,H17,05:24:00,06:47:45
TTA7D0007.2.11932,C50,16:30:00,17:26:45
TTA7D0008.1.12462,K10,04:00:00,04:39:45
TTA7D0008.1.12816,B11,05:15:00,06:33:30
TTA7D0008.2.12817,G11,06:35:00,07:44:15
TTA7D0009.1.11885,3,04:00:00,04:49:45
TTA7D0009.1.12614,A61,06:35:00,08:06:00
TTA7D0009.2.11886,3,04:51:00,05:36:15
TTA7D0009.2.12615,F61,18:12:00,20:05:15
